freqency(kHz),area(mm2),RCA/STD,Dry/Wet,T21/T23,Voltage(V),C(pF)
1,0.0026,0,0,1,0.03,3.9625
1,0.0026,0,0,1,0.16,3.9992
1,0.0026,0,0,1,0.29,4.0581
1,0.0026,0,0,1,0.42,4.0789
1,0.0026,0,0,1,0.55,4.1587
1,0.0026,0,0,1,0.68,4.1751
1,0.0026,0,0,1,0.81,4.2082
1,0.0026,0,0,1,0.94,4.2418
1,0.0026,0,0,1,1.07,4.2233
1,0.0026,0,0,1,1.20,4.2777
1,0.0026,0,0,1,1.33,4.2674
1,0.0026,0,0,1,1.46,4.2907
1,0.0026,0,0,1,1.59,4.2826
1,0.0026,0,0,1,1.72,4.3085
1,0.0026,0,0,1,1.85,4.3234
1,0.0026,0,0,1,1.98,4.3141
1,0.0026,0,0,1,2.11,4.3257
1,0.0026,0,0,1,2.24,4.3438
1,0.0026,0,0,1,2.37,4.3518
1,0.0026,0,0,1,2.50,4.3540
1,0.0025,0,0,1,-4.00,4.5753
1,0.0025,0,0,1,-3.87,4.5838
1,0.0025,0,0,1,-3.74,4.5335
1,0.0025,0,0,1,-3.61,4.5343
1,0.0025,0,0,1,-3.48,4.5329
1,0.0025,0,0,1,-3.35,4.5076
1,0.0025,0,0,1,-3.22,4.5196
1,0.0025,0,0,1,-3.09,4.5183
1,0.0025,0,0,1,-2.96,4.5210
1,0.0025,0,0,1,-2.83,4.4787
1,0.0025,0,0,1,-2.70,4.4442
1,0.0025,0,0,1,-2.57,4.4394
1,0.0025,0,0,1,-2.44,4.4029
1,0.0025,0,0,1,-2.31,4.3631
1,0.0025,0,0,1,-2.18,4.2981
1,0.0025,0,0,1,-2.05,4.2460
1,0.0025,0,0,1,-1.92,4.1698
1,0.0025,0,0,1,-1.79,3.9795
1,0.0025,0,0,1,-1.66,3.7157
1,0.0025,0,0,1,-1.53,3.2514
1,0.0025,0,0,1,-1.40,2.3939
1,0.0025,0,0,1,-1.27,1.5497
1,0.0025,0,0,1,-1.14,1.2051
1,0.0025,0,0,1,-1.01,0.8315
1,0.0025,0,0,1,-0.88,0.7941
1,0.0025,0,0,1,-0.75,1.0476
1,0.0025,0,0,1,-0.62,2.2377
1,0.0025,0,0,1,-0.49,3.1789
1,0.0025,0,0,1,-0.36,3.5615
1,0.0025,0,0,1,-0.23,3.6919
1,0.0025,0,0,1,-0.10,3.8077
1,0.0025,0,0,1,0.03,3.8612
1,0.0025,0,0,1,0.16,3.9258
1,0.0025,0,0,1,0.29,3.9903
1,0.0025,0,0,1,0.42,4.0076
1,0.0025,0,0,1,0.55,4.0371
1,0.0025,0,0,1,0.68,4.0731
1,0.0025,0,0,1,0.81,4.1083
1,0.0025,0,0,1,0.94,4.1438
1,0.0025,0,0,1,1.07,4.1619
1,0.0025,0,0,1,1.20,4.1586
1,0.0025,0,0,1,1.33,4.1857
1,0.0025,0,0,1,1.46,4.1774
1,0.0025,0,0,1,1.59,4.2051
1,0.0025,0,0,1,1.72,4.2336
