freqency(kHz),area(mm2),RCA/STD,Dry/Wet,T21/T23,Voltage(V),Cm(pF),Ct(pF)
1,0.0026,0,1,1,1.72,4.1617,0
1,0.0026,0,1,1,1.85,4.1765,0
1,0.0026,0,1,1,1.98,4.1729,0
1,0.0026,0,1,1,2.11,4.1947,0
1,0.0026,0,1,1,2.24,4.2013,0
1,0.0026,0,1,1,2.37,4.2199,0
1,0.0026,0,1,1,2.5,4.216,0
1,0.0025,0,1,1,-4,4.288,0
1,0.0025,0,1,1,-3.87,4.2796,0
1,0.0025,0,1,1,-3.74,4.2368,0
1,0.0025,0,1,1,-3.61,4.2541,0
1,0.0025,0,1,1,-3.48,4.2528,0
